Method,AvgRuntime,StdDevRuntime,AvgSpilled,AvgMaxSpilled
greedy,3.765625000000001e-05,1.722863277806962e-05,1.7228125,5.4253125
backtracking,1.254636953125,4.888176778787572,1.1171875,4.96875
